path,source,reason,owner,status,migration_note
docs/agent-run-review-template.md,llm_friendly_allowlist_py,[DOC] Single-purpose template,platform-team,grandfathered,Consider extracting to smaller focused docs
docs/data-model.md,llm_friendly_allowlist_py,[DOC] Data model reference,platform-team,grandfathered,Consider splitting by domain area
docs/security/threat-model.md,llm_friendly_allowlist_py,[DOC] Security reference,security-team,grandfathered,Consider splitting by threat category
docs/security-exception-audit.md,llm_friendly_allowlist_py,[DOC] Audit document - historical record,security-team,grandfathered,Historical - review for cleanup
docs/artifact-immutability-audit.md,llm_friendly_allowlist_py,[DOC] Audit document - historical record,platform-team,grandfathered,Historical - review for cleanup
src/k8s_diag_agent/health/loop.py,llm_friendly_allowlist_py,[EXTRACTION] Health loop - extract by concern,platform-team,planned_removal,"Extract by concern: discovery, assessment, notification, scheduler"
src/k8s_diag_agent/health/loop_scheduler.py,llm_friendly_allowlist_py,[EXTRACTION] Loop scheduler - run loop extracted; compatibility surface remains,platform-team,planned_removal,Consolidate with loop.py extraction
src/k8s_diag_agent/collect/incident_diagnosis_review_packet.py,llm_friendly_allowlist_py,[CONTRACT] Review packet - artifact writer with bounded output; all functions related,platform-team,grandfathered,Consider extracting serializers
tests/fixtures/incident_report_fixtures.py,llm_friendly_allowlist_py,[TEST] Fixture data - extract by test family,platform-team,planned_removal,Split by test family
tests/unit/test_ui_server_api_alertmanager_sources.py,llm_friendly_allowlist_py,[TEST] Alertmanager sources - large fixtures,platform-team,planned_removal,Split fixtures from tests
tests/unit/test_health_loop_alertmanager_snapshot_collection.py,llm_friendly_allowlist_py,[TEST] Snapshot tests - split by scenario,platform-team,planned_removal,Split by scenario
tests/unit/test_api_incident_report.py,llm_friendly_allowlist_py,[TEST] Incident report tests - large fixtures,platform-team,planned_removal,Split fixtures from tests
tests/unit/test_health_ui.py,llm_friendly_allowlist_py,[TEST] Health UI tests - complex fixtures,platform-team,planned_removal,Split fixtures from tests
tests/unit/test_ui_server_api.py,llm_friendly_allowlist_py,[TEST] UI server API tests - complex fixtures,platform-team,planned_removal,Split fixtures from tests
tests/unit/test_alertmanager_discovery.py,llm_friendly_allowlist_py,[TEST] Alertmanager discovery tests,platform-team,planned_removal,Split by discovery scenario
tests/test_health_loop.py,llm_friendly_allowlist_py,[TEST] Health loop tests - complex fixtures,platform-team,planned_removal,Split by behavior
tests/test_alertmanager.py,llm_friendly_allowlist_py,[TEST] Alertmanager tests - complex scenarios,platform-team,planned_removal,Split by scenario
tests/test_scripts.py,llm_friendly_allowlist_py,[TEST] Script tests - complex test scenarios,platform-team,planned_removal,Split by script
tests/test_security_path_validation.py,llm_friendly_allowlist_py,[TEST] Security tests - complex scenarios,security-team,planned_removal,Split by scenario
