candidate_id,doc_path,line_number,anchor,candidate_text,detected_claim_types,detection_rules,doc_class,truth_status,claim_trace_required,candidate_severity,registered_claim_id,registration_status,notes
DOC-CAND-c3939db8f885,README.md,3,line-3,"k9b is a Kubernetes operations intelligence workbench that helps platform engineers and operators review cluster health, surface actionable findings from noisy signals, and follow evidence-grounded diagnostic workflows without autonomous cluster mutation.",security,security,canonical,current,false,high,,unregistered,
DOC-CAND-9c1ae2c4b94b,README.md,5,line-5,"It runs against real clusters via a read-only snapshot collector, persists all evidence as typed, reviewable artifacts, and keeps LLM-assisted branches opt-in, auditable, and advisory-only.",normative|data_model,normative|data_model,canonical,current,false,medium,,unregistered,
DOC-CAND-3b6b80adfd33,README.md,16,line-16,- Run against real clusters in read-only/safety-first mode,normative,normative,canonical,current,false,medium,,unregistered,
DOC-CAND-ac74b8db5695,README.md,18,line-18,"k9b is designed for production-adjacent environments with genuine cluster evidence, not demo-only flows.",normative,normative,canonical,current,false,medium,,unregistered,
DOC-CAND-81730025469b,README.md,24,line-24,"Kubernetes produces too many raw signals. Alerts and logs often lack prioritization, grouping, and operator context. LLMs can help, but only if:",normative,normative,canonical,current,false,medium,,unregistered,
DOC-CAND-e486a5089d5e,README.md,38,line-38,- Snapshot collection — Collect sanitized cluster snapshots via k8s-diag-agent snapshot --context <context> --output <file> or batch mode with k8s-diag-agent batch-snapshot --config <file>,data_model,data_model,canonical,current,false,medium,,unregistered,
DOC-CAND-a0a366864c31,README.md,47,line-47,"- Review bundles — Canonical JSON artifacts bundling fleet state, assessments, drilldowns, and proposals",data_model,data_model,canonical,current,false,medium,,unregistered,
DOC-CAND-e72d144d6de4,README.md,59,line-59,- Diagnostic-pack review — Second-opinion provider analysis against the generated review artifact,data_model,data_model,canonical,current,false,medium,,unregistered,
DOC-CAND-a0341a9a3c2a,README.md,63,line-63,"- Health proposals — Typed adaptation suggestions (threshold tuning, noise filters, baseline updates) written under runs/health/proposals/",ci_gate|performance,ci_gate|performance,canonical,current,false,medium,,unregistered,
DOC-CAND-83083c7d764b,README.md,72,line-72,- Operator approval gating — Promotes deterministic checks into managed queue with explicit approval before execution,config,config,canonical,current,false,low,,unregistered,
DOC-CAND-b39221c0992f,README.md,76,line-76,"- Demo shell component — Pure Elm-ish state model for demo/demo-like behavior in the UI (frontend/src/demo-shell/), testable without React rendering",data_model,data_model,canonical,current,false,medium,,unregistered,
DOC-CAND-3fa3f2daecf9,README.md,80,line-80,"- Three themes — dark (default), solarized-light, rose-pine with runtime switching via ThemeSwitch and localStorage persistence",config,config,canonical,current,false,low,,unregistered,
DOC-CAND-620fdfecdeb0,README.md,85,line-85,- Semantic injection detection — Deterministic local detector integrated into prompt construction path,security,security,canonical,current,false,high,,unregistered,
DOC-CAND-202326dab603,README.md,86,line-86,"- Path containment — Path traversal prevention for static/artifact serving; dotdot, encoding, and symlink boundaries tested",data_model,data_model,canonical,current,false,medium,,unregistered,
DOC-CAND-a66f11ba1448,README.md,87,line-87,- LLM-friendly file limits — Files under 500 lines enforced; splitting required above threshold,normative|ci_gate|performance,normative|ci_gate|performance,canonical,current,false,medium,,unregistered,
DOC-CAND-68753c82f6cd,README.md,88,line-88,- No autonomous mutation — Agent never mutates live clusters without explicit operator approval; proposals must pass replay validation,normative|security|config,normative|security|config,canonical,current,false,high,,unregistered,
DOC-CAND-1b6f8e56850b,README.md,93,line-93,"- Full acceptance gate — scripts/verifyall.sh runs ruff-lint, unit-tests, mypy, and frontend test/build (prints VERIFICATION GATE: PASSED on success)",ci_gate,ci_gate,canonical,current,false,medium,,unregistered,
DOC-CAND-c322ef204de5,README.md,94,line-94,"- Scoped lanes — --python-only, --frontend-only, --helm-only flags for targeted runs",normative,normative,canonical,current,false,medium,,unregistered,
DOC-CAND-24ae91fc8c0d,README.md,96,line-96,"- LLM evidence/safety gates — Deterministic tests for evidence boundaries and semantic injection detection (scripts/verifyllmevidenceboundaries.py, scripts/verifyllmsemanticinjectiondetection.py)",security,security,canonical,current,false,high,,unregistered,
DOC-CAND-75f9ee4fd2a7,README.md,107,line-107,- Frontend dependencies installed: cd frontend && npm ci,ci_gate,ci_gate,canonical,current,false,medium,,unregistered,
DOC-CAND-09a133927581,README.md,126,line-126,Expected output on success: VERIFICATION GATE: PASSED,ci_gate,ci_gate,canonical,current,false,medium,,unregistered,
DOC-CAND-297f1c6d4a7b,README.md,231,line-231,"Evidence boundary discipline — Raw cluster data is captured once, sanitized, and treated as immutable source of truth. LLM prompts are constructed from bounded, redacted evidence. Provider output is advisory and replayable.",data_model|source_of_truth,data_model|source_of_truth,canonical,current,false,high,,unregistered,
DOC-CAND-217a6f9e098b,README.md,235,line-235,"Signal/finding/hypothesis separation — The system never collapses observed signal, derived symptom, hypothesis, confidence, and recommended action into one opaque conclusion. Reviewers can trace how each conclusion was reached.",normative,normative,canonical,current,false,medium,,unregistered,
DOC-CAND-a37ba5bd065a,README.md,237,line-237,"Artifact-first execution — All runs produce typed, inspectable, replayable artifacts under runs/health/. The UI/API are read-only projections of these artifacts, not a separate source of truth.",normative|data_model|source_of_truth,normative|data_model|source_of_truth,canonical,current,false,high,,unregistered,
DOC-CAND-1ea3fb1e91bf,README.md,239,line-239,LLM-friendly file discipline — New Python files target under 300 lines (warning) or 500 lines (failure); TypeScript files follow similar limits. Large files must be justified and split.,normative,normative,canonical,current,false,medium,,unregistered,
DOC-CAND-04a74288cf38,README.md,243,line-243,Safety-first automation — The agent never mutates live clusters autonomously. All adaptations pass through check-proposal replay validation and explicit operator approval.,normative|config,normative|config,canonical,current,false,medium,,unregistered,
DOC-CAND-a908b3808458,README.md,255,line-255,"k9b treats LLM output as advisory and reviewable, never as automatic truth:",normative,normative,canonical,current,false,medium,,unregistered,
DOC-CAND-ab1a80cbcac1,README.md,258,line-258,- Semantic injection detection — Deterministic local detector runs against prompt inputs. scripts/verifyllmsemanticinjectiondetection.py verifies correct integration.,security,security,canonical,current,false,high,,unregistered,
DOC-CAND-fb097bff7fb5,README.md,261,line-261,- No autonomous mutation — Proposals must pass check-proposal replay validation. Execution requires explicit operator approval.,normative|security|config,normative|security|config,canonical,current,false,high,,unregistered,
DOC-CAND-9af736eb93c7,README.md,263,line-263,"These boundaries are not advisory moral guidance — they are enforced through tests, path validation, file size limits, and the artifact model itself.",data_model,data_model,canonical,current,false,medium,,unregistered,
