candidate_id,doc_path,line_number,anchor,candidate_text,detected_claim_types,detection_rules,doc_class,truth_status,claim_trace_required,candidate_severity,registered_claim_id,registration_status,notes
DOC-CAND-414135beed95,docs/security/operator-auth-design.md,510,line-510,| ID | Task | Effort | Files | Status |,data_model,data_model,design_proposal,current,true,medium,,unregistered,
DOC-CAND-5710d5bad8d4,docs/security/operator-auth-design.md,512,line-512,| AUTH-01 | Add --unsafe-bind flag to CLI | Low | cli.py | DONE |,config,config,design_proposal,current,true,low,,unregistered,
DOC-CAND-a759b2ed4f2c,docs/security/operator-auth-design.md,513,line-513,| AUTH-02 | Add bind warning when exposing without token | Low | server.py | DONE |,security,security,design_proposal,current,true,high,,unregistered,
DOC-CAND-960eef94d1eb,docs/security/operator-auth-design.md,518,line-518,| ID | Task | Effort | Files | Status |,data_model,data_model,design_proposal,current,true,medium,,unregistered,
DOC-CAND-013d63864872,docs/security/operator-auth-design.md,521,line-521,| AUTH-05 | Integrate token validation into doPOST() | Medium | server.py | DONE |,security,security,design_proposal,current,true,high,,unregistered,
DOC-CAND-8a5e1d421bf2,docs/security/operator-auth-design.md,522,line-522,| AUTH-06 | Add unit tests for token validation | Low | tests/ | DONE |,security,security,design_proposal,current,true,high,,unregistered,
DOC-CAND-e0f5565a779f,docs/security/operator-auth-design.md,527,line-527,| ID | Task | Effort | Files | Status |,data_model,data_model,design_proposal,current,true,medium,,unregistered,
DOC-CAND-9fdb22e68504,docs/security/operator-auth-design.md,529,line-529,| AUTH-08 | GET endpoint protection (decision deferred) | TBD | TBD | DEFERRED |,api_contract,api_contract,design_proposal,current,true,medium,,unregistered,
DOC-CAND-9f12ae259ca8,docs/security/operator-auth-design.md,530,line-530,"| AUTH-09 | Full CSRF token (deferred, API-R2 sufficient) | TBD | TBD | DEFERRED |",security,security,design_proposal,current,true,high,,unregistered,
DOC-CAND-8279dd157b62,docs/security/operator-auth-design.md,531,line-531,| AUTH-10 | Helm default to 127.0.0.1 | Medium | charts/ | DONE |,config,config,design_proposal,current,true,low,,unregistered,
DOC-CAND-51db83f701b5,docs/security/operator-auth-design.md,563,line-563,3. Unsafe-bind flag exists - Pending AUTH-01,config,config,design_proposal,current,true,low,,unregistered,
DOC-CAND-5660e79b33ca,docs/security/operator-auth-design.md,565,line-565,5. Bearer token validation works - Pending AUTH-04-05,security,security,design_proposal,current,true,high,,unregistered,
DOC-CAND-efec6cd3b9c6,docs/security/operator-auth-design.md,567,line-567,7. No behavior change without code changes - Default localhost preserved,config,config,design_proposal,current,true,low,,unregistered,
DOC-CAND-332ab73c5b08,docs/security/operator-auth-design.md,587,line-587,"| Q1 | Should non-loopback binding require explicit --unsafe-bind, including Helm deployments? | Affects helm chart migration | YES |",normative,normative,design_proposal,current,true,medium,,unregistered,
DOC-CAND-287d393973c4,docs/security/operator-auth-design.md,588,line-588,| Q2 | Should GET endpoints also require token when exposed? | Affects scope | NO |,normative|security|api_contract,normative|security|api_contract,design_proposal,current,true,high,,unregistered,
DOC-CAND-d76ed3a16cdc,docs/security/operator-auth-design.md,589,line-589,| Q3 | Should we support token via Kubernetes Secret in helm? | Affects helm implementation | NO |,normative|security,normative|security,design_proposal,current,true,high,,unregistered,
DOC-CAND-f0afa1247e82,docs/security/operator-auth-design.md,590,line-590,"| Q4 | What is the expected token format? (random hex, JWT, etc.) | Affects implementation | YES |",security,security,design_proposal,current,true,high,,unregistered,
DOC-CAND-e5739a42dab1,docs/security/operator_facing_projection_leak_audit.md,5,line-5,"Status: [COMPLETED] Verifier Wired, Patterns Refined, Zero Violations",data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-8f4e117846ee,docs/security/operator_facing_projection_leak_audit.md,15,line-15,- src/k8sdiagagent/ui/status.py,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-27ead8c8a14b,docs/security/operator_facing_projection_leak_audit.md,25,line-25,| DEFERRED | Cannot be statically proven; manually audited or requires deeper analysis |,normative,normative,reference,historical,false,medium,,ignored_historical,
DOC-CAND-2081b0a02717,docs/security/operator_facing_projection_leak_audit.md,37,line-37,| Deferred modules | 15 files across server/api/health/uiprojection |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-04219b3f488d,docs/security/operator_facing_projection_leak_audit.md,43,line-43,- Some patterns detected multiple ways (str(exc) + artifact.errorsummary),data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-a0a6d3e1db47,docs/security/operator_facing_projection_leak_audit.md,47,line-47,| File | Lines | Violation Type | Classification | Status |,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-5d4aa361f4b5,docs/security/operator_facing_projection_leak_audit.md,49,line-49,"| src/k8sdiagagent/ui/serverrunslistpayload.py | 200, 205 | str(exc) in response payload | FIXED | Fixed |",api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-caf7beb62bd1,docs/security/operator_facing_projection_leak_audit.md,50,line-50,| src/k8sdiagagent/ui/serverreads.py | 319 | str(exc) in response payload | DEFERRED | Needs fix |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-e0c376c86a72,docs/security/operator_facing_projection_leak_audit.md,51,line-51,"| src/k8sdiagagent/ui/serverreadsupport.py | 168, 179, 228, 350 | errorsummary field key, str(exc) | DEFERRED | Needs fix |",data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-bd7c9e885d6f,docs/security/operator_facing_projection_leak_audit.md,52,line-52,"| src/k8sdiagagent/ui/serverreadllmstats.py | 77, 304 | str(exc) in response payload | DEFERRED | Needs fix |",api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-53bfbaffc751,docs/security/operator_facing_projection_leak_audit.md,53,line-53,| src/k8sdiagagent/ui/serverreadnextchecks.py | 76 | str(exc) in response payload | DEFERRED | Needs fix |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-9f3a15cd072a,docs/security/operator_facing_projection_leak_audit.md,54,line-54,| src/k8sdiagagent/ui/serverreadexecutionhistory.py | 149 | str(exc) in response payload | DEFERRED | Needs fix |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-66552f36ab9a,docs/security/operator_facing_projection_leak_audit.md,55,line-55,"| src/k8sdiagagent/ui/serverreadclusters.py | 96, 260 | str(exc) in response payload | DEFERRED | Needs fix |",api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-c90d185118b0,docs/security/operator_facing_projection_leak_audit.md,56,line-56,| src/k8sdiagagent/ui/servernextchecks.py | 132 | str(exc) in response payload | DEFERRED | Needs fix |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-d105a9418609,docs/security/operator_facing_projection_leak_audit.md,58,line-58,| src/k8sdiagagent/ui/servernextcheckapproval.py | 174 | str(exc) in response payload | DEFERRED | Needs fix |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-ed71654db9f5,docs/security/operator_facing_projection_leak_audit.md,59,line-59,"| src/k8sdiagagent/ui/serverfeedback.py | 195, 364 | str(exc) in response payload | DEFERRED | Needs fix |",api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-5d8bda9d7c72,docs/security/operator_facing_projection_leak_audit.md,61,line-61,"| src/k8sdiagagent/ui/serveralertmanager.py | 199, 274, 321 | str(exc) in response payload | DEFERRED | Needs fix |",api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-c85e0c698ce5,docs/security/operator_facing_projection_leak_audit.md,62,line-62,| src/k8sdiagagent/ui/apirunspayloads.py | 277 | str(exc) in response payload | DEFERRED | Needs fix |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-dc3a3cb0e3e4,docs/security/operator_facing_projection_leak_audit.md,63,line-63,"| src/k8sdiagagent/ui/apiincidentreportfiltering.py | 75, 107, 124 | artifact.errorsummary, artifact.rawoutput | DEFERRED | Needs fix |",data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-68f8d9da2cb2,docs/security/operator_facing_projection_leak_audit.md,64,line-64,| src/k8sdiagagent/health/uiprojection/reviewenrichment.py | 107 | artifact.errorsummary | DEFERRED | Needs fix |,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-a8aa21f1a0f0,docs/security/operator_facing_projection_leak_audit.md,65,line-65,| src/k8sdiagagent/health/uiprojection/llmactivity.py | 258 | errorsummary field key | DEFERRED | Needs fix |,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-422aa70fb11d,docs/security/operator_facing_projection_leak_audit.md,66,line-66,| src/k8sdiagagent/health/uiprojection/autodrilldown.py | 53 | errorsummary field key | DEFERRED | Needs fix |,data_model,data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-1a4652cb2b38,docs/security/operator_facing_projection_leak_audit.md,80,line-80,Not Operator-Facing (Internal Only),normative,normative,reference,historical,false,medium,,ignored_historical,
DOC-CAND-df956de52d60,docs/security/operator_facing_projection_leak_audit.md,84,line-84,| src/k8sdiagagent/ui/apipayloads.py | TypedDict definitions only |,normative,normative,reference,historical,false,medium,,ignored_historical,
DOC-CAND-05be81ee4b19,docs/security/operator_facing_projection_leak_audit.md,86,line-86,| src/k8sdiagagent/ui/notificationspayloads.py | Payload definitions |,api_contract,api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-a611a0d7a9ec,docs/security/operator_facing_projection_leak_audit.md,97,line-97,1. str(exc) in response payloads - must use sanitizeexceptionmessage(),normative|api_contract,normative|api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-9f3f1798c1e9,docs/security/operator_facing_projection_leak_audit.md,99,line-99,3. stdout/stderr in response payloads - must be sanitized,normative|api_contract,normative|api_contract,reference,historical,false,medium,,ignored_historical,
DOC-CAND-cd8b43ae4480,docs/security/operator_facing_projection_leak_audit.md,100,line-100,4. artifact.rawoutput used directly - must use sanitizeexecutionoutput(),normative|data_model,normative|data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-b0b99381aba0,docs/security/operator_facing_projection_leak_audit.md,101,line-101,5. artifact.errorsummary used directly - must use sanitizeexecutionoutput(),normative|data_model,normative|data_model,reference,historical,false,medium,,ignored_historical,
DOC-CAND-544c5d599593,docs/security/operator_facing_projection_leak_audit.md,103,line-103,7. rawoutput/errorsummary/errormessage field keys without sanitization,data_model,data_model,reference,historical,false,medium,,ignored_historical,
