candidate_id,disposition,claim_id,covered_by_claim_id,reason_code,reviewed_at,reviewer_notes
DOC-CAND-ac74b8db5695,registered_existing_claim,DOC-CLAIM-0060,,already_registered,2026-06-19,Already registered to DOC-CLAIM-0060
DOC-CAND-1ea3fb1e91bf,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: README.md
DOC-CAND-30d4fe60737e,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: README.md
DOC-CAND-ff0a66994c84,stale,,,stale_doc,2026-06-19,From stale doc: docs/alertmanager-source-distinction-audit.md
DOC-CAND-6002ade57d67,stale,,,stale_doc,2026-06-19,From stale doc: docs/alertmanager-source-distinction-audit.md
DOC-CAND-62f3ecb72cb8,stale,,,stale_doc,2026-06-19,From stale doc: docs/artifact-immutability-audit.md
DOC-CAND-5455810e0e8b,stale,,,stale_doc,2026-06-19,From stale doc: docs/artifact-immutability-audit.md
DOC-CAND-ea9f855dda3c,stale,,,stale_doc,2026-06-19,From stale doc: docs/artifact-immutability-audit.md
DOC-CAND-ae31e74615c7,stale,,,stale_doc,2026-06-19,From stale doc: docs/artifact-immutability-audit.md
DOC-CAND-dd4a23abed31,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/auth.md
DOC-CAND-d1b70b0f2ed2,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/auth.md
DOC-CAND-da61f902d0b6,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/auth.md
DOC-CAND-ace20260e927,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-demo-readiness-checklist.md
DOC-CAND-556502d22f44,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-demo-readiness-checklist.md
DOC-CAND-bd93d4b1acf0,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-operator-guide.md
DOC-CAND-d42a15061c69,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-operator-guide.md
DOC-CAND-95e753cb9a1c,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-release-notes.md
DOC-CAND-b0b7117266f8,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-release-notes.md
DOC-CAND-66734cea8ecc,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-stakeholder-demo-script.md
DOC-CAND-d57233ca5a4a,historical,,,historical_doc,2026-06-19,From historical doc: docs/beta-stakeholder-demo-script.md
DOC-CAND-86e5b2b51ad6,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/ci-gate-drift.md
DOC-CAND-e6bd12f3a294,registered_existing_claim,DOC-CLAIM-0034,,already_registered,2026-06-19,Already registered to DOC-CLAIM-0034
DOC-CAND-4b3975732305,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/coverage.md
DOC-CAND-2a8a61512473,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/alertmanager-sources.md
DOC-CAND-e3c93192e8db,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/incidents.md
DOC-CAND-964885ac4182,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/incidents.md
DOC-CAND-cced3922a860,covered_by_existing_claim,,DOC-CLAIM-0065,covered_by_broader_claim,2026-06-20,ACT 3.5: Promotion artifact claim; relates to DOC-CLAIM-0065
DOC-CAND-a9c11464bd49,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/next-checks.md
DOC-CAND-00976abc6abe,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/next-checks.md
DOC-CAND-644f7acda2df,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model/run-lifecycle.md
DOC-CAND-6c13dd21843e,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/data-model.md
DOC-CAND-a08a637287a3,ignored_by_policy,,,low_value_context,2026-06-19,Low-value prose fragment from: docs/doctrine/beta-real-incident-validation.md
