doc_path,doc_class,truth_status,owner_area,generated_by,replacement_doc,claim_trace_required,notes
README.md,canonical,current,general,,,false,Root project README with capabilities overview
docs/agent-docs-audit.md,reference,unknown,agents,,,false,Audit of agent documentation
docs/agent-run-review-template.md,runbook,current,agents,,,false,Template for agent run review
docs/alertmanager-source-distinction-audit.md,reference,stale,discovery,,,false,Audit of alertmanager source distinction
docs/artifact-immutability-audit.md,reference,stale,artifacts,,,false,Audit of artifact immutability claims
docs/auth.md,reference,current,security,,,true,Authentication documentation
docs/baseline_watch_practices.md,reference,stale,health,,,false,Baseline watch practices - may need review
docs/beta-demo-readiness-checklist.md,epic_wal,historical,beta,,,false,Beta demo checklist - historical
docs/beta-operator-guide.md,runbook,historical,beta,,,false,Beta operator guide - superseded by current docs
docs/beta-release-notes.md,reference,historical,beta,,,false,Beta release notes - historical
docs/beta-stakeholder-demo-script.md,runbook,historical,beta,,,false,Beta demo script - historical
docs/ci-gate-drift.md,reference,current,ci,,,true,CI gate drift tracking
docs/cluster_snapshot_plan.md,architecture,stale,collection,,,false,Cluster snapshot plan - needs update
docs/coverage.md,reference,current,quality,,,true,Coverage reporting policy
docs/data-model.md,canonical,current,data-model,,,true,Core data model index - canonical reference
docs/data-model/alertmanager-sources.md,reference,current,data-model,,,true,Alertmanager source data model
docs/data-model/artifacts.md,reference,current,data-model,,,true,Artifact data model
docs/data-model/incident-report-quality.md,reference,current,data-model,,,true,Incident report quality schema
docs/data-model/incidents.md,reference,current,data-model,,,true,Incident data model
docs/data-model/next-check-mapping.md,reference,current,data-model,,,true,Next check mapping
docs/data-model/next-checks.md,reference,current,data-model,,,true,Next checks data model
docs/data-model/review-packets.md,reference,current,data-model,,,true,Review packet data model
docs/data-model/run-lifecycle.md,reference,current,data-model,,,true,Run lifecycle data model
docs/data-model/ui-model-boundaries.md,reference,current,data-model,,,true,UI model boundaries
docs/doctrine/beta-real-incident-validation.md,doctrine,current,doctrine,,,false,Doctrine for beta real incident validation
docs/doctrine/blockstor-derived-rules.md,doctrine,current,doctrine,,,true,Blockstor-derived factory rules doctrine
docs/doctrine/constitution.md,doctrine,current,doctrine,,,true,Core foundational governance constitution
docs/doctrine/css-ownership.md,doctrine,current,doctrine,,,false,CSS ownership doctrine
docs/doctrine/discovery_logging_hygiene.md,doctrine,current,doctrine,,,true,Discovery logging hygiene doctrine
docs/doctrine/documentation-truthfulness.md,doctrine,current,doctrine,,,true,Documentation truthfulness doctrine - classification, truth status, claim tracing
docs/doctrine/documentation-truthfulness-dispositions.md,doctrine,current,doctrine,,,false,Candidate disposition ledger supplement
docs/doctrine/identity-primer.md,doctrine,current,doctrine,,,false,Identity primer doctrine
docs/doctrine/llm-friendly-files.md,doctrine,current,doctrine,,,true,LLM-friendly files doctrine
docs/doctrine/path-security-doctrine.md,doctrine,current,doctrine,,,true,Path security doctrine
docs/doctrine/playbooks/design_review.md,doctrine,current,doctrine,,,false,Design review playbook
docs/doctrine/playbooks/redesign_staging.md,doctrine,current,doctrine,,,false,Redesign staging playbook
